
      _             __  __
akamai-apigateway-stg-finplateng-defi.tesla.com [A] [23.38.49.204] 
apigateway-survey-internal-api.tesla.com [A] [23.220.234.191] 
apigateway-energy-fulfillment-cx-bff-prd.tesla.com [A] [23.220.234.191] 
apigateway-diner-hub.tesla.com [A] [23.220.234.191] 
apigateway-message-center-ownership.tesla.com [A] [23.220.234.191] 
apacvpn.tesla.com [A] [8.244.67.215] 
apigateway-megapackportalapi.tesla.com [A] [23.200.207.231] 
apps.tesla.com [A] [23.200.207.231] 
akamai-apigateway-stg-einvoicing.tesla.com [A] [23.38.49.204] 
akamai-apigateway-warptmsapiserver-upgrade.tesla.com [A] [23.38.49.204] 
akamai-apigateway-warpassetapi.tesla.com [A] [23.220.234.191] 
auth-stage.tesla.com [A] [23.220.234.191] 
ams13-gpgw1.tesla.com [A] [199.120.50.30] 
assets.engage.tesla.com [A] [18.244.164.105] 
assets.engage.tesla.com [A] [18.244.164.13] 
assets.engage.tesla.com [A] [18.244.164.48] 
assets.engage.tesla.com [A] [18.244.164.23] 
auth.tesla.com [A] [23.220.234.191] 
auth-global-stage.tesla.com [A] [23.220.234.191] 
apacvpn2.tesla.com [A] [124.158.21.195] 
apacvpn1.tesla.com [A] [8.244.131.215] 
autobidder.powerhub.energy.tesla.com [A] [23.58.20.129] 
api.kronos.tesla.com [A] [44.234.232.236] 
api.kronos.tesla.com [A] [100.21.132.193] 
api.kronos.tesla.com [A] [35.81.96.94] 
autobidder-preprd.powerhub.energy.tesla.com [A] [23.58.20.129] 
akamai-apigateway-warp3pl.tesla.com [A] [23.38.49.204] 
akamai-apigateway-ehs-stg.tesla.com [A] [23.38.49.204] 
akamai-apigateway-warpedi.tesla.com [A] [23.38.49.204] 
apigateway-live-chat-ownership.tesla.com [A] [23.38.49.204] 
apigateway-track-sedgwick-integration-api.tesla.com [A] [23.38.49.204] 
akamai-apigateway-mfs-supplier-uat.tesla.com [A] [23.38.49.204] 
akamai-apigateway-deliveryopsapi.tesla.com [A] [23.38.49.204] 
akamai-apigateway-captiveunderwriting.tesla.com [A] [23.38.49.204] 
apigateway-logging.tesla.com [A] [23.220.234.191] 
bettertime.tesla.com [A] [23.220.238.95] 
bolt.tesla.com [A] [23.200.207.231] 
akamai-apigateway-zip3-suppliersequence.tesla.com [A] [23.38.49.204] 
auth-global.tesla.com [A] [23.38.49.204] 
charging-guest-ownership.tesla.com [A] [23.220.234.191] 
checkout-ui-assets.tesla.com [A] [23.200.207.231] 
autodiscover.tesla.com [A] [40.104.68.24] 
autodiscover.tesla.com [A] [40.104.68.104] 
autodiscover.tesla.com [A] [40.104.68.88] 
autodiscover.tesla.com [A] [52.98.123.248] 
business-ui-ownership.tesla.com [A] [23.220.234.191] 
akamai-apigateway-shipmentplanningapi.tesla.com [A] [23.38.49.204] 
cicerone.tesla.com [A] [23.220.234.191] 
cdn-design.tesla.com [A] [23.220.234.191] 
apigateway-track-bff.tesla.com [A] [23.38.49.204] 
apigateway-hrosappapi.tesla.com [A] [23.38.49.204] 
cld-ec.tesla.com [A] [23.220.234.191] 
bettertime-stage.tesla.com [A] [23.220.238.95] 
click.email.tesla.com [A] [184.25.108.27] 
click.email.tesla.com [A] [184.25.108.16] 
billing.tesla.com [A] [23.38.49.204] 
click.emails.tesla.com [A] [13.111.48.179] 
cnvpn1.tesla.com [A] [114.141.176.215] 
courses.tesla.com [A] [23.220.234.191] 
cua-chat-ui.tesla.com [A] [23.200.207.231] 
cx-api-apac.tesla.com [A] [23.220.234.191] 
cdns-content.tesla.com [A] [23.220.234.191] 
cx-apac.tesla.com [A] [23.220.234.191] 
cnvpn.tesla.com [A] [103.222.41.215] 
device-api.prd.na.vn.cloud.tesla.com [A] [100.20.60.178] 
cua-help-me-charge-ui.tesla.com [A] [23.220.234.191] 
dataviz.tesla.com [A] [118.214.188.211] 
device-api.prd.eu.vn.cloud.tesla.com [A] [18.203.142.139] 
developer.tesla.com [A] [23.220.234.191] 
cyberbeer.tesla.com [A] [23.220.234.191] 
digitalassets-energy.tesla.com [A] [23.207.77.109] 
digitalassets-contents.tesla.com [A] [151.101.2.92] 
digitalassets-contents.tesla.com [A] [151.101.66.92] 
digitalassets-contents.tesla.com [A] [151.101.130.92] 
digitalassets-contents.tesla.com [A] [151.101.194.92] 
digitalassets-secure.tesla.com [A] [151.101.2.92] 
digitalassets-secure.tesla.com [A] [151.101.66.92] 
digitalassets-secure.tesla.com [A] [151.101.194.92] 
digitalassets-secure.tesla.com [A] [151.101.130.92] 
digitalassets-accounts.tesla.com [A] [151.101.130.92] 
digitalassets-accounts.tesla.com [A] [151.101.194.92] 
digitalassets-accounts.tesla.com [A] [151.101.2.92] 
digitalassets-accounts.tesla.com [A] [151.101.66.92] 
dex.ops.bn.na.vn.cloud.tesla.com [A] [52.12.27.67] 
dro.tesla.com [A] [23.220.234.191] 
cua-help-me-choose-ui.tesla.com [A] [23.220.234.191] 
diner-webapp.tesla.com [A] [23.220.234.191] 
digitalassets.tesla.com [A] [151.101.130.92] 
digitalassets.tesla.com [A] [151.101.194.92] 
digitalassets.tesla.com [A] [151.101.2.92] 
digitalassets.tesla.com [A] [151.101.66.92] 
digitalassets-learning.tesla.com [A] [151.101.2.1] 
digitalassets-learning.tesla.com [A] [151.101.66.1] 
digitalassets-learning.tesla.com [A] [151.101.130.1] 
digitalassets-learning.tesla.com [A] [151.101.194.1] 
cua-test-drive-ui.tesla.com [A] [23.38.49.204] 
echo-internal-api.tesla.com [A] [23.200.207.231] 
dal11-gpgw1.tesla.com [A] [199.120.56.30] 
echo-api.tesla.com [A] [23.220.234.191] 
ehs.tesla.com [A] [23.200.207.231] 
dslogcollection.tesla.com [A] [23.210.76.54] 
emails.tesla.com [A] [13.111.18.27] 
echo.tesla.com [A] [23.220.234.191] 
edr-eu.tesla.com [A] [23.220.234.191] 
einvoicing.tesla.com [A] [23.220.234.191] 
energylibrary.tesla.com [A] [23.200.207.231] 
email1.tesla.com [A] [192.28.144.15] 
envoy-partnerleadsharing.tesla.com [A] [23.220.234.191] 
edr.tesla.com [A] [23.220.234.191] 
epuca-prd.euw1.vn.cloud.tesla.com [A] [18.203.70.200] 
envoy-finplat-sunlight.tesla.com [A] [23.220.234.191] 
digitalassets-shop.tesla.com [A] [23.193.114.49] 
digitalassets-shop.tesla.com [A] [23.193.114.73] 
epc.tesla.com [A] [23.200.207.231] 
diner-webapp-stage.tesla.com [A] [23.192.96.69] 
epc-support.tesla.com [A] [23.220.234.191] 
envoy-finplat-stg.tesla.com [A] [23.200.207.231] 
errlog.tesla.com [A] [23.220.234.191] 
epcapi.tesla.com [A] [23.220.234.191] 
events.tesla.com [A] [13.111.47.195] 
errlog-stage.tesla.com [A] [23.220.234.191] 
error-log.tesla.com [A] [23.200.207.231] 
external-3pl-prd.tesla.com [A] [199.66.9.67] 
extgithub.tesla.com [A] [23.223.152.71] 
energy-web-apps.tesla.com [A] [23.38.49.204] 
exp-zcp-cloud-eu-itmfg.tesla.com [A] [23.220.238.95] 
files-ownership.tesla.com [A] [23.220.234.191] 
financial-gw.tesla.com [A] [199.66.9.77] 
engage.tesla.com [A] [3.160.188.18] 
engage.tesla.com [A] [3.160.188.58] 
engage.tesla.com [A] [3.160.188.62] 
engage.tesla.com [A] [3.160.188.108] 
envoy-partnertasks.tesla.com [A] [23.38.49.204] 
finops.tesla.com [A] [23.220.234.191] 
external-sandbox-automation.tesla.com [A] [23.220.234.191] 
employeefeedback.tesla.com [A] [23.58.23.29] 
feedback.tesla.com [A] [23.58.23.29] 
epuca-prd.usw2.vn.cloud.tesla.com [A] [100.21.66.61] 
fleet-api.prd.na.vn.cloud.tesla.com [A] [52.11.254.23] 
exp-zcp-cloud-na-itmfg.tesla.com [A] [23.220.238.95] 
fleet-api.eng.na.vn.cloud.tesla.com [A] [66.17.16.3] 
exp-zcp-cloud-eu-itmfg-staging.tesla.com [A] [23.220.7.138] 
fra05-gpgw1.tesla.com [A] [199.120.51.30] 
fleetview.fn.tesla.com [A] [35.85.174.122] 
fleet-auth.prd.vn.cloud.tesla.com [A] [117.239.141.123] 
fleet-auth.prd.vn.cloud.tesla.com [A] [117.239.141.113] 
fleetview.america.fn.tesla.com [A] [35.85.174.122] 
fleetview.prd.europe.fn.tesla.com [A] [54.75.101.220] 
external-automation.tesla.com [A] [209.133.79.52] 
fleet-api.prd.eu.vn.cloud.tesla.com [A] [18.203.70.200] 
gigalife.tesla.com [A] [23.200.207.231] 
grid.tesla.com [A] [23.220.234.191] 
factory.tesla.com [A] [23.192.96.69] 
fleetapi-support.tesla.com [A] [23.38.49.204] 
hermes-ap.eng.vn.cloud.tesla.com [A] [66.17.14.53] 
hcaptcha.tesla.com [A] [23.220.234.191] 
hnd13-gpgw1.tesla.com [A] [199.120.52.30] 
hermes-stream-api.eng.na.vn.cloud.tesla.com [A] [66.17.14.24] 
fleetview.prd.america.fn.tesla.com [A] [54.218.161.170] 
iad05-gpgw1.tesla.com [A] [199.120.48.30] 
fleetview.europe.fn.tesla.com [A] [54.76.135.36] 
hermes-stream-api.prd.eu.vn.cloud.tesla.com [A] [34.241.94.236] 
image-emails.tesla.com [A] [23.220.234.191] 
gigabier.tesla.com [A] [23.38.49.204] 
hrosapi.tesla.com [A] [23.220.234.191] 
ideas.tesla.com [A] [23.200.207.231] 
hermes-stream-api.prd.na.vn.cloud.tesla.com [A] [35.163.110.120] 
ir.tesla.com [A] [23.220.234.191] 
akamai-apigateway-uat-materials.tesla.com [A] [23.220.234.191] 
itanswers.tesla.com [A] [204.74.99.100] 
akamai-apigateway-vfx.tesla.com [A] [23.220.234.191] 
inventory-assets.tesla.com [A] [23.220.234.191] 
akamai-apigateway-stg-profileapi.tesla.com [A] [23.220.234.191] 
akamai-apigateway-stg-materials.tesla.com [A] [23.200.207.231] 
akamai-apigateway-automation-billing.tesla.com [A] [23.220.234.191] 
image.emails.tesla.com [A] [23.220.234.191] 
link.qa.tesla.com [A] [13.214.238.55] 
link.qa.tesla.com [A] [54.250.209.117] 
ion.tesla.com [A] [23.220.234.191] 
akamai-apigateway-suppliers-rfq.tesla.com [A] [23.220.234.191] 
akamai-apigateway-stg-warptqpapi.tesla.com [A] [23.220.234.191] 
lax32-gpgw1.tesla.com [A] [199.120.54.30] 
akamai-apigateway-ops-warp3pl.tesla.com [A] [23.220.234.191] 
akamai-apigateway-stg-procuretopayapi.tesla.com [A] [23.220.234.191] 
akamai-apigateway-teslaservice-api.tesla.com [A] [23.220.234.191] 
akamai-apigateway-einvoicing.tesla.com [A] [23.220.234.191] 
akamai-apigateway-suppliers.tesla.com [A] [23.220.234.191] 
akamai-apigateway-translationpipeline.tesla.com [A] [23.220.234.191] 
logtransit-proxy.tesla.com [A] [23.200.207.231] 
akamai-apigateway-stg-inventorytxnextapi.tesla.com [A] [23.220.234.191] 
akamai-apigateway-teslarpsapi.tesla.com [A] [23.220.234.191] 
link.tesla.com [A] [23.220.234.191] 
akamai-apigateway-stg-shipmentplanningapi.tesla.com [A] [23.220.234.191] 
akamai-apigateway-stg-warptmsapiserver-upgrade.tesla.com [A] [23.220.234.191] 
logtransit.tesla.com [A] [23.220.234.191] 
akamai-apigateway-stg2-deliveryopsapi.tesla.com [A] [23.220.234.191] 
akamai-apigateway-stg-fta.tesla.com [A] [23.220.234.191] 
akamai-apigateway-stg-teslarpsapi.tesla.com [A] [23.220.234.191] 
akamai-apigateway-stg-warptmsapiserver.tesla.com [A] [23.220.234.191] 
gpv.tesla.com [A] [199.120.53.29] 
location-services-prd.tesla.com [A] [23.220.234.191] 
live-data.prd.europe.fn.tesla.com [A] [54.75.101.220] 
image.email.tesla.com [A] [104.118.7.17] 
image.email.tesla.com [A] [104.118.7.73] 
marketing.tesla.com [A] [13.111.47.196] 
advent-gfbb.tesla.com [A] [23.223.152.71] 
links.tesla.com [A] [23.200.207.231] 
media-server-api.eng.vn.cloud.tesla.com [A] [66.17.14.51] 
live-data.fn.tesla.com [A] [44.231.72.244] 
akamai-apigateway-dev-captiveunderwriting.tesla.com [A] [23.220.234.191] 
hermes-api.prd.eu.vn.cloud.tesla.com [A] [52.208.90.105] 
kronos-dev.tesla.com [A] [23.220.234.191] 
livestream.tesla.com [A] [23.220.234.191] 
mfamobile-dev.tesla.com [A] [205.234.27.209] 
hermes-ap.prd.vn.cloud.tesla.com [A] [34.215.165.251] 
akamai-apigateway-stg-warpdashboardapi.tesla.com [A] [23.220.234.191] 
issue-tracker.tesla.com [A] [23.220.234.191] 
inside.tesla.com [A] [23.220.234.191] 
livestreamapi-test.tesla.com [A] [23.200.207.231] 
akamai-apigateway-stg-packaging2.tesla.com [A] [23.220.234.191] 
live-data.prd.america.fn.tesla.com [A] [54.218.161.170] 
mfs-supplier-fremont-stg.tesla.com [A] [23.220.234.191] 
mfs-supplier-uat.tesla.com [A] [23.220.234.191] 
mfa.tesla.com [A] [23.220.234.191] 
livestreamapi.tesla.com [A] [23.220.234.191] 
media-server-dev-api.eng.vn.cloud.tesla.com [A] [66.17.16.51] 
model3.tesla.com [A] [205.234.27.221] 
mobile-links.prd.vn.cloud.tesla.com [A] [44.231.72.244] 
mta.email.tesla.com [A] [13.111.14.190] 
meet.tesla.com [A] [205.234.27.221] 
akamai-apigateway-stg-warp3pl.tesla.com [A] [23.220.234.191] 
media-server-qr.eng.america.vn.cloud.tesla.com [A] [66.17.14.51] 
humans.tesla.com [A] [23.192.96.69] 
mta2.email.tesla.com [A] [13.111.4.231] 
mfs-supplier-gfb.tesla.com [A] [23.220.234.191] 
mta5.emails.tesla.com [A] [13.111.88.53] 
mfa-reset.tesla.com [A] [23.220.234.191] 
integration.kronos.tesla.com [A] [54.148.233.28] 
integration.kronos.tesla.com [A] [44.235.96.113] 
integration.kronos.tesla.com [A] [44.230.170.147] 
mta3.emails.tesla.com [A] [13.111.88.2] 
installations-ext-api.tesla.com [A] [23.38.49.204] 
media-server-qr-dev.eng.america.vn.cloud.tesla.com [A] [66.17.14.51] 
mta4.emails.tesla.com [A] [13.111.88.52] 
akamai-apigateway-packaging2.tesla.com [A] [23.220.234.191] 
mfs-supplier.tesla.com [A] [23.220.234.191] 
mobile-links-cdn.eng.vn.cloud.tesla.com [A] [18.67.161.72] 
mobile-links-cdn.eng.vn.cloud.tesla.com [A] [18.67.161.90] 
mobile-links-cdn.eng.vn.cloud.tesla.com [A] [18.67.161.91] 
mobile-links-cdn.eng.vn.cloud.tesla.com [A] [18.67.161.29] 
mobile.tesla.com [A] [23.220.234.191] 
mta.emails.tesla.com [A] [13.111.62.118] 
akamai-apigateway-procuretopayapi.tesla.com [A] [23.38.49.204] 
akamai-apigateway-dev-warptmsapiserver-upgrade.tesla.com [A] [23.38.49.204] 
akamai-apigateway-stg-warpedi.tesla.com [A] [23.38.49.204] 
akamai-apigateway-stg-warpassetapi.tesla.com [A] [23.38.49.204] 
akamai-apigateway-stg-payment.tesla.com [A] [23.38.49.204] 
akamai-apigateway-stg-warpcxml.tesla.com [A] [23.38.49.204] 
akamai-apigateway-vfx-stg.tesla.com [A] [23.38.49.204] 
kronos.tesla.com [A] [23.38.49.204] 
issue-trackerapi.tesla.com [A] [23.38.49.204] 
npute-eng.usw2.vn.cloud.tesla.com [A] [35.95.236.155] 
npuapt-eng.usw.vn.cloud.tesla.com [A] [66.17.16.28] 
npuhe-prd.euw1.vn.cloud.tesla.com [A] [54.228.85.77] 
npuapt-prd.usw2.vn.cloud.tesla.com [A] [52.25.226.132] 
acs2-poc.voice.tesla.com [A] [199.120.48.73] 
akamai-apigateway-deliveryopsvitu.tesla.com [A] [23.38.49.204] 
live-data.america.fn.tesla.com [A] [35.85.174.122] 
mobile-links.eng.vn.cloud.tesla.com [A] [66.17.14.29] 
akamai-apigateway-vendorpartsapi.tesla.com [A] [23.38.49.204] 
live-data.europe.fn.tesla.com [A] [52.210.26.136] 
npute-prd.usw2.vn.cloud.tesla.com [A] [35.163.110.120] 
akamai-apigateway-deliveryopsapi1.tesla.com [A] [23.38.49.204] 
akamai-apigateway-stg-ops-warp3pl.tesla.com [A] [23.38.49.204] 
logcollection.tesla.com [A] [23.38.49.204] 
mfa-stage.tesla.com [A] [118.214.188.68] 
npuv-ap.prd.usw2.vn.cloud.tesla.com [A] [100.21.252.214] 
o6.ptr9437.tesla.com [A] [168.245.123.10] 
o2.ptr556.tesla.com [A] [149.72.134.64] 
origin-apps.tesla.com [A] [209.133.79.43] 
npuhe-eng.usw2.vn.cloud.tesla.com [A] [44.225.238.231] 
npuv-eng.usw2.vn.cloud.tesla.com [A] [44.226.159.54] 
npuv-eng.euw1.vn.cloud.tesla.com [A] [54.74.135.116] 
o1.ptr2410.link.tesla.com [A] [149.72.247.52] 
npuv-prd.euw1.vn.cloud.tesla.com [A] [46.137.13.117] 
origin-bolt.tesla.com [A] [8.244.67.137] 
accounts.tesla.com [A] [23.223.152.71] 
npuv-eng.usw.vn.cloud.tesla.com [A] [66.17.14.2] 
npute-prd.euw1.vn.cloud.tesla.com [A] [54.216.95.107] 
origin-ehs-stg.tesla.com [A] [199.120.49.154] 
onboard.tesla.com [A] [23.220.234.191] 
mobile-links-cdn.prd.vn.cloud.tesla.com [A] [18.161.229.118] 
mobile-links-cdn.prd.vn.cloud.tesla.com [A] [18.161.229.25] 
mobile-links-cdn.prd.vn.cloud.tesla.com [A] [18.161.229.74] 
mobile-links-cdn.prd.vn.cloud.tesla.com [A] [18.161.229.53] 
origin-ehs.tesla.com [A] [199.120.53.202] 
origin-finplat-prd.tesla.com [A] [8.244.67.144] 
origin-finops.tesla.com [A] [8.244.67.144] 
mobile-ops-links.prd.vn.cloud.tesla.com [A] [35.85.174.122] 
o3.ptr1444.tesla.com [A] [149.72.152.236] 
o7.ptr6980.tesla.com [A] [149.72.144.42] 
mfauser-dev.tesla.com [A] [205.234.27.209] 
origin-location-services-prd.tesla.com [A] [62.67.197.155] 
mrsproxy06.tesla.com [A] [209.11.133.58] 
origin-suppliers-stg.tesla.com [A] [199.120.49.154] 
origin-cicerone.tesla.com [A] [8.244.67.158] 
origin-mobile.tesla.com [A] [209.133.79.82] 
origin-financialgateway-stg.tesla.com [A] [8.244.67.145] 
origin-einvoicing.tesla.com [A] [199.120.53.202] 
origin-finplat-stg.tesla.com [A] [8.244.67.145] 
o5.ptr8466.tesla.com [A] [149.72.172.170] 
origin-pay.tesla.com [A] [149.106.198.136] 
origin-static-assets-teslaaccount.tesla.com [A] [8.244.67.147] 
origin-assets-teslaaccount-ownership-ownership.tesla.com [A] [23.220.234.191] 
origin-financialgateway.tesla.com [A] [8.244.67.144] 
minerva-api-qa.tesla.com [A] [23.192.96.69] 
hub.tesla.com [A] [173.222.44.211] 
origin-suppliers.tesla.com [A] [149.106.197.140] 
origin-sspr.tesla.com [A] [199.66.11.36] 
origin-sales-prd.tesla.com [A] [199.120.50.108] 
origin-courses.tesla.com [A] [199.120.53.201] 
origin-mfa.tesla.com [A] [199.120.53.102] 
origin-warp-akamai.tesla.com [A] [199.66.9.77] 
mobile.kronos.tesla.com [A] [54.69.179.37] 
mobile.kronos.tesla.com [A] [44.230.108.199] 
mobile.kronos.tesla.com [A] [44.231.108.139] 
origin-profile.tesla.com [A] [199.120.53.142] 
origin-grid.tesla.com [A] [8.244.67.137] 
ownership.tesla.com [A] [23.220.234.191] 
mta2.emails.tesla.com [A] [13.111.88.1] 
origin-tcc-gw-stg.tesla.com [A] [8.244.67.155] 
origin-service.tesla.com [A] [8.244.67.147] 
origin-profileapi-stg.tesla.com [A] [199.120.49.154] 
exp-zcp-cloud-na-itmfg-staging.tesla.com [A] [104.81.203.173] 
logcollector-ext.tesla.com [A] [23.38.55.100] 
origin-tcc-gw.tesla.com [A] [8.244.67.158] 
origin-warp-stg.tesla.com [A] [199.120.49.154] 
myapps.tesla.com [A] [23.38.49.204] 
pages.email.tesla.com [A] [136.147.129.25] 
npuhe-eng.euw1.vn.cloud.tesla.com [A] [34.241.116.95] 
npute-eng.euw1.vn.cloud.tesla.com [A] [52.16.173.180] 
npute-eng.usw.vn.cloud.tesla.com [A] [66.17.16.32] 
partnerleadsharing.tesla.com [A] [199.120.49.132] 
origin-www-auth.tesla.com [A] [205.234.27.214] 
origin-profileapi.tesla.com [A] [199.120.53.142] 
powerhub.energy.tesla.com [A] [23.58.20.129] 
ptr2.tesla.com [A] [117.50.14.178] 
npuv-ap.prd.euw1.vn.cloud.tesla.com [A] [18.203.142.139] 
pm-bounces.tesla.com [A] [3.13.123.143] 
pm-bounces.tesla.com [A] [3.18.165.142] 
pm-bounces.tesla.com [A] [18.216.11.61] 
ownerapi-api.eng.euw1.vn.cloud.tesla.com [A] [54.194.52.12] 
pages.emails.tesla.com [A] [13.111.18.25] 
po-agent-external.tesla.com [A] [23.220.234.191] 
ownerapi-alpha.prd.vn.cloud.tesla.com [A] [52.27.86.224] 
origin-ownership-web.tesla.com [A] [62.67.197.155] 
pub.email.tesla.com [A] [136.147.129.35] 
ranger-api.tesla.com [A] [23.220.234.191] 
origin-slingsdlc.tesla.com [A] [209.133.79.98] 
npuv-prd.usw2.vn.cloud.tesla.com [A] [100.21.252.214] 
recycling.tesla.com [A] [23.220.234.191] 
partners.tesla.com [A] [23.220.234.191] 
origin-livestream.tesla.com [A] [199.120.49.153] 
mytcore-inventory-assests.tesla.com [A] [23.38.49.204] 
profile.tesla.com [A] [23.220.234.191] 
origin-edr.tesla.com [A] [199.120.49.153] 
ptr1.tesla.com [A] [117.50.35.199] 
roadsideinvoice.tesla.com [A] [23.220.234.191] 
repair.tesla.com [A] [23.220.234.191] 
origin-inside.tesla.com [A] [199.120.48.209] 
o4.ptr1867.tesla.com [A] [149.72.163.58] 
origin-installations-ext-api.tesla.com [A] [199.120.48.208] 
secure-static-assets.tesla.com [A] [23.220.234.191] 
origin-auth.tesla.com [A] [205.234.27.214] 
origin-bolt-forms.tesla.com [A] [199.120.56.195] 
origin-ownership.tesla.com [A] [199.120.53.243] 
origin-warp.tesla.com [A] [199.120.53.142] 
secureguest.tesla.com [A] [209.133.79.94] 
sales-prd.tesla.com [A] [23.220.234.191] 
shop.tesla.com [A] [23.220.234.191] 
sc-eu-cppm.tesla.com [A] [199.120.50.226] 
origin-static-assets-profile-settings.tesla.com [A] [199.120.49.202] 
schedule.tesla.com [A] [23.200.207.231] 
origin-ranger-api.tesla.com [A] [199.120.50.209] 
origin-partners.tesla.com [A] [199.120.48.209] 
signaling-alpha.prd.vn.cloud.tesla.com [A] [44.225.238.231] 
serviceapi-stg.tesla.com [A] [23.200.207.231] 
secureguest-eu.tesla.com [A] [23.220.234.191] 
sin05-gpgw1.tesla.com [A] [199.120.53.30] 
ownerapi-api.eng.usw.vn.cloud.tesla.com [A] [66.17.16.18] 
sso-dev.tesla.com [A] [23.220.234.191] 
ownerapi-api.eng.usw2.vn.cloud.tesla.com [A] [35.82.203.73] 
sso-dev-origin.tesla.com [A] [209.133.79.66] 
origin-static-assets-pay.tesla.com [A] [149.106.198.136] 
serviceapp.tesla.com [A] [23.223.152.121] 
pay.tesla.com [A] [23.38.49.204] 
tcc-gw.tesla.com [A] [23.200.207.231] 
sso.tesla.com [A] [23.220.234.191] 
solarbonds.tesla.com [A] [23.220.234.191] 
origin-www.tesla.com [A] [199.66.11.55] 
staticpay-origin-wwwcdn.tesla.com [A] [209.133.79.52] 
prices.tesla.com [A] [23.38.49.204] 
static-assets-pay.tesla.com [A] [23.220.234.191] 
static-assets-subscription-preferences.tesla.com [A] [23.220.234.191] 
signaling-robotics.eng.usw.vn.cloud.tesla.com [A] [66.17.16.53] 
profile-ai-agent.tesla.com [A] [23.38.49.204] 
stage-traffic-flow-test.tesla.com [A] [23.220.234.191] 
tcc-graph.tesla.com [A] [23.220.234.191] 
static-assets-teslaaccount.tesla.com [A] [23.200.207.231] 
stg-uc-twilio-bpm-webhook.tesla.com [A] [23.200.207.231] 
sspr.tesla.com [A] [23.200.207.231] 
static-assets-contactus-comm-preferences.tesla.com [A] [23.220.234.191] 
syd14-gpgw1.tesla.com [A] [199.120.32.30] 
tcc-gw-stg.tesla.com [A] [23.220.234.191] 
static-assets.tesla.com [A] [23.220.234.191] 
teamchatgl.tesla.com [A] [209.133.79.102] 
suppliers.tesla.com [A] [23.220.234.191] 
teamchatcn.tesla.com [A] [209.133.79.102] 
telemetry-ap.prd.vn.cloud.tesla.com [A] [54.186.42.159] 
reassignment-ui.tesla.com [A] [23.38.49.204] 
teamchat.tesla.com [A] [23.220.234.191] 
teslacmgap01.tesla.com [A] [20.44.215.54] 
service.tesla.com [A] [23.220.234.191] 
teslacmgeu01.tesla.com [A] [20.76.242.91] 
